model,precision,macro_f1,ci95,normal_f1,apb_f1,pvc_f1,size_kb,latency_ms_per_window,throughput_windows_per_s,rtf,arena_kb,deployable,quant_delta
CNN,full-int8,0.619,0.1503,0.8407,0.2834,0.733,77.9,499,2.0,0.5,300,yes (real-time),-0.2099958152448424
TCN,full-int8,0.6155,0.1421,0.8436,0.2571,0.7458,70.1,608,1.64,0.61,300,yes (real-time),-0.23764390556414233
LSTM,float32,0.5818,0.0596,0.7915,0.1581,0.7958,126.5,1290,0.78,1.29,300,no (float32),
GRU,float32,0.5257,0.1056,0.7283,0.1395,0.7093,103.7,1091,0.92,1.09,300,no (float32),
